category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorwikimediapage	authorlastnamefirst	authorlastnamestrong	linkedtags	linkedtags2	sourceline	rightsline
Design	Eric Abrahamson and David H. Freeman	A Perfect Mess: The Hidden Benefits of Disorder	3	Book	Copyright	2006	0316114758	Keep Creating throughout the Construction Process	<p> As it turns out, Gehry is concerned not with the precise angles or dimensions of a building, but with the emotional impression it instills in observers and inhabitants. The ability to convey this impression is elusive and fragile, he maintains, and can easily be lost in the neat, unambiguous precision of a two-dimensional drawing. </p> <p> To capture the building's intended emotional content, Gehry maintains, everyone working on the building should keep creating throughout the construction process. Withholding blueprints is a way of making sure that happens. Forgoing a detailed plan is disruptive it creates convolution, making a neat and well-defined process messy. </p>	Eric Abrahamson and David H. Freeman					2008-10-07T18:07:49-07:00		2				eric-abrahamson-and-david-h-freeman	Eric_Abrahamson_and_David_H._Freeman	Abrahamson, Eric and Freeman, David H.	Eric <strong>Abrahamson</strong> and David H. <strong>Freeman</strong>	design.html	design.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>A Perfect Mess: The Hidden Benefits of Disorder</cite>, <span class='datepublished'>2006</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0316114758/portablewisdo-20' class='isbn'>0316114758</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2006</span> by <span class='rightsowner'>Eric Abrahamson and David H. Freeman</span>
Pagan Tuna	Eric Abrahamson and David H. Freeman	A Perfect Mess: The Hidden Benefits of Disorder	3	Book	Copyright	2006	0316114758	Keep Creating throughout the Construction Process	<p> As it turns out, Gehry is concerned not with the precise angles or dimensions of a building, but with the emotional impression it instills in observers and inhabitants. The ability to convey this impression is elusive and fragile, he maintains, and can easily be lost in the neat, unambiguous precision of a two-dimensional drawing. </p> <p> To capture the building's intended emotional content, Gehry maintains, everyone working on the building should keep creating throughout the construction process. Withholding blueprints is a way of making sure that happens. Forgoing a detailed plan is disruptive it creates convolution, making a neat and well-defined process messy. </p>	Eric Abrahamson and David H. Freeman					2008-10-07T18:07:49-07:00		2				eric-abrahamson-and-david-h-freeman	Eric_Abrahamson_and_David_H._Freeman	Abrahamson, Eric and Freeman, David H.	Eric <strong>Abrahamson</strong> and David H. <strong>Freeman</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>A Perfect Mess: The Hidden Benefits of Disorder</cite>, <span class='datepublished'>2006</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0316114758/portablewisdo-20' class='isbn'>0316114758</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2006</span> by <span class='rightsowner'>Eric Abrahamson and David H. Freeman</span>
Economics	Frank W. Abrams	unknown	3	unknown				Stakeholder Capitalism	<p> The job of management is to maintain an equitable and working balance among the claims of the various directly affected interest groups... stockholders, employees, customers and the public at large. </p>						2012-09-03T11:43:18-07:00		265				frank-w-abrams	Frank_W._Abrams	Abrams, Frank W.	Frank W. <strong>Abrams</strong>	economics.html	economics.html		
Pagan Tuna	Frank W. Abrams	unknown	3	unknown				Stakeholder Capitalism	<p> The job of management is to maintain an equitable and working balance among the claims of the various directly affected interest groups... stockholders, employees, customers and the public at large. </p>						2012-09-03T11:43:18-07:00		265				frank-w-abrams	Frank_W._Abrams	Abrams, Frank W.	Frank W. <strong>Abrams</strong>	pagan-tuna.html	pagan-tuna.html		
Pagan Tuna	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> &#8220;There is nothing worse than a brilliant image of a fuzzy concept.&#8221; </p>						2011-09-18T20:53:57-07:00		1				ansel-adams	Ansel_Adams	Adams, Ansel	Ansel <strong>Adams</strong>	pagan-tuna.html	pagan-tuna.html		
Practopian	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> &#8220;There is nothing worse than a brilliant image of a fuzzy concept.&#8221; </p>						2011-09-18T20:53:57-07:00		1				ansel-adams	Ansel_Adams	Adams, Ansel	Ansel <strong>Adams</strong>	practopian.html	practopian.html		
design	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> &#8220;There is nothing worse than a brilliant image of a fuzzy concept.&#8221; </p>						2011-09-18T20:53:57-07:00		1				ansel-adams	Ansel_Adams	Adams, Ansel	Ansel <strong>Adams</strong>	design.html	design.html		
thinking	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> &#8220;There is nothing worse than a brilliant image of a fuzzy concept.&#8221; </p>						2011-09-18T20:53:57-07:00		1				ansel-adams	Ansel_Adams	Adams, Ansel	Ansel <strong>Adams</strong>	thinking.html	thinking.html		
Pagan Tuna	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	A Dark Procession	<p> Mercer did not think at all in the accepted sense of the word. Ideas occurred to him and engendered other ideas. But the process which linked any two of them was a dark procession taking place in some subconscious part of the brain. </p>	Doubleday and Company, Inc.					2008-05-21T19:25:38-07:00		3				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Practopian	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	A Dark Procession	<p> Mercer did not think at all in the accepted sense of the word. Ideas occurred to him and engendered other ideas. But the process which linked any two of them was a dark procession taking place in some subconscious part of the brain. </p>	Doubleday and Company, Inc.					2008-05-21T19:25:38-07:00		3				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
